#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461318   -0.461318           0
           2   -0.462514   -0.461916 0.000422567
           3   -0.462603   -0.462145 0.000338145
           4   -0.465488   -0.462981 0.000766913
           5   -0.464252   -0.463235 0.000654316
           6   -0.473631   -0.464968  0.00167307
           7   -0.466007   -0.465116  0.00144064
           8   -0.457882   -0.464212  0.00151809
           9   -0.464517   -0.464246  0.00134979
          10   -0.467633   -0.464584  0.00125659
          11   -0.456441   -0.463844  0.00134285
          12   -0.458859   -0.463429   0.0012936
          13   -0.463228   -0.463413  0.00119419
          14   -0.462766   -0.463367  0.00110978
          15   -0.459428   -0.463104  0.00106641
          16   -0.457164   -0.462733  0.00106243
          17   -0.462731   -0.462733 0.000999934
          18   -0.468855   -0.463073  0.00100056
          19   -0.471131   -0.463497  0.00103388
          20   -0.460174   -0.463331 0.000995445
          21   -0.463826   -0.463355 0.000948322
          22   -0.456588   -0.463047 0.000953793
          23   -0.458938   -0.462868 0.000928909
          24   -0.462778   -0.462865 0.000890212
          25   -0.470153   -0.463156 0.000901074
          26   -0.456967   -0.462918 0.000897308
          27   -0.466711   -0.463059 0.000875002
          28   -0.460054   -0.462951 0.000850309
          29   -0.448901   -0.462467 0.000949035
          30   -0.463874   -0.462514 0.000918559
          31   -0.455658   -0.462293 0.000915167
          32   -0.453626   -0.462022 0.000925778
          33   -0.452138   -0.461722 0.000944928
          34   -0.453231   -0.461472 0.000949564
          35   -0.469628   -0.461706 0.000950594
          36   -0.454594   -0.461508 0.000944488
          37    -0.46535   -0.461612 0.000924651
          38   -0.458518    -0.46153 0.000903894
          39   -0.462822   -0.461564 0.000881324
          40   -0.458277   -0.461481 0.000863112
          41   -0.466763    -0.46161 0.000851621
          42   -0.460109   -0.461574 0.000832094
          43   -0.463647   -0.461623 0.000814138
          44   -0.467339   -0.461753 0.000805935
          45   -0.456512   -0.461636 0.000796395
          46   -0.464914   -0.461707 0.000782264
          47   -0.465992   -0.461799 0.000770914
          48   -0.455058   -0.461658 0.000767538
          49   -0.458286   -0.461589 0.000754953
          50   -0.462442   -0.461606 0.000740047
          51    -0.47331   -0.461836 0.000760282
          52   -0.464977   -0.461896 0.000748057
          53   -0.472342   -0.462093 0.000759465
          54   -0.466514   -0.462175 0.000749801
          55    -0.46393   -0.462207 0.000736847
          56   -0.449306   -0.461977 0.000758847
          57   -0.462406   -0.461984 0.000745571
          58   -0.473938    -0.46219 0.000760667
          59   -0.464326   -0.462227 0.000748635
          60    -0.45633   -0.462128  0.00074258
          61   -0.467015   -0.462208 0.000734715
          62   -0.459017   -0.462157 0.000724666
          63   -0.468844   -0.462263 0.000720895
          64   -0.460409   -0.462234 0.000710213
          65    -0.46535   -0.462282 0.000700903
          66      -0.466   -0.462338 0.000692543
          67   -0.461208   -0.462321 0.000682412
          68   -0.463334   -0.462336 0.000672539
          69   -0.466542   -0.462397 0.000665549
          70   -0.455589     -0.4623  0.00066311
          71   -0.460654   -0.462277 0.000654176
          72   -0.461104   -0.462261 0.000645293
          73   -0.468149   -0.462341 0.000641475
          74    -0.46397   -0.462363 0.000633184
          75   -0.465552   -0.462406 0.000626167
          76   -0.457493   -0.462341 0.000621256
          77   -0.465683   -0.462385 0.000614702
          78   -0.468395   -0.462462 0.000611633
          79   -0.464923   -0.462493 0.000604684
          80   -0.460862   -0.462472 0.000597468
          81   -0.450353   -0.462323 0.000608539
          82   -0.471324   -0.462433 0.000610938
          83   -0.461008   -0.462415 0.000603819
          84   -0.460884   -0.462397 0.000596905
          85   -0.470154   -0.462488 0.000596819
          86   -0.466023   -0.462529 0.000591293
          87   -0.456494    -0.46246 0.000588552
          88   -0.469004   -0.462534 0.000586543
          89   -0.473157   -0.462654 0.000591971
          90   -0.466113   -0.462692  0.00058664
          91   -0.465128   -0.462719 0.000580804
          92   -0.470025   -0.462798 0.000579894
          93   -0.466218   -0.462835 0.000574823
          94   -0.462733   -0.462834 0.000568709
          95   -0.467827   -0.462887 0.000565146
          96   -0.461742   -0.462875 0.000559385
          97   -0.465189   -0.462899 0.000554126
          98   -0.465314   -0.462923  0.00054902
          99   -0.459611    -0.46289 0.000544493
         100   -0.461612   -0.462877 0.000539198
