#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         169     2.56361     1.67509   0.0286888
         170     2.11975     1.67771    0.028639
         171     2.21589     1.68086   0.0286439
         172     2.01521      1.6828   0.0285433
         173      1.7091     1.68295   0.0283787
         174     2.02352     1.68491    0.028283
         175     2.09723     1.68726   0.0282194
         176     2.08489     1.68952   0.0281493
         177     2.51913     1.69421   0.0283778
         178     2.26235      1.6974   0.0283973
         179     2.29804     1.70076   0.0284362
         180     1.93222     1.70204   0.0283073
         181     2.02947     1.70385   0.0282087
         182      2.0878     1.70596   0.0281325
         183     1.84933     1.70675   0.0279896
         184     1.63801     1.70637     0.02784
         185     1.83291     1.70706   0.0276979
         186     1.91346     1.70817   0.0275712
         187     2.47406     1.71226   0.0277263
         188     1.90308     1.71328   0.0275974
         189     2.19724     1.71584   0.0275699
         190     1.74413     1.71599   0.0274252
         191     2.08743     1.71793   0.0273505
         192     1.45472     1.71656   0.0272424
         193     2.13628     1.71873   0.0271879
         194     1.74471     1.71887   0.0270481
         195     2.11837     1.72092   0.0269869
         196      1.7248     1.72094   0.0268492
         197     1.68999     1.72078   0.0267134
         198      1.7852     1.72111   0.0265804
         199     1.64405     1.72072   0.0264497
         200     1.90991     1.72166   0.0263343
         201     2.18665     1.72398   0.0263047
         202     2.45807     1.72761   0.0264243
         203     2.34802     1.73067   0.0264703
         204     1.90429     1.73152   0.0263542
         205     1.64171     1.73108   0.0262293
         206     1.48225     1.72987   0.0261298
         207     1.58455     1.72917    0.026013
         208     1.64462     1.72876   0.0258911
         209     1.50734     1.72771   0.0257889
         210     1.55255     1.72687   0.0256796
         211      1.5548     1.72606   0.0255708
         212     1.52534     1.72511   0.0254677
         213     1.44601      1.7238   0.0253818
         214     1.36845     1.72214   0.0253175
         215     1.55374     1.72135   0.0252119
         216     1.76376     1.72155   0.0250959
         217     1.41195     1.72012   0.0250208
         218     1.47306     1.71899   0.0249316
         219     1.62899     1.71858   0.0248212
         220     1.55715     1.71785   0.0247192
         221     1.62656     1.71743   0.0246108
         222     2.16275     1.71944   0.0245816
         223     2.01159     1.72075   0.0245062
         224     1.72637     1.72077   0.0243968
         225     1.87004     1.72144   0.0242974
         226     1.68975      1.7213   0.0241903
         227     1.91636     1.72216    0.024099
         228     2.28938     1.72464   0.0241214
         229     2.43073     1.72773   0.0242123
         230     2.16325     1.72962    0.024181
         231     1.95793     1.73061   0.0240965
         232     2.01669     1.73184   0.0240241
         233      2.0967     1.73341    0.023972
         234     2.03667      1.7347   0.0239046
         235     1.86146     1.73524   0.0238089
         236     1.93837      1.7361   0.0237236
         237     2.14204     1.73782   0.0236853
         238     1.93722     1.73866   0.0236006
         239     1.75941     1.73874    0.023502
         240     2.16068      1.7405   0.0234697
         241      2.1073     1.74202   0.0234216
         242     2.18607     1.74386   0.0233966
         243      2.0715     1.74521   0.0233391
         244       2.505     1.74832   0.0234503
         245      2.1024     1.74976   0.0233991
         246     2.08224     1.75112    0.023343
         247     2.08605     1.75247   0.0232878
         248     2.08894     1.75383   0.0232334
         249     2.01602     1.75488   0.0231639
         250     1.85293     1.75527   0.0230746
         251     1.74992     1.75525   0.0229827
         252     1.96306     1.75608   0.0229063
         253     1.91287      1.7567   0.0228241
         254     1.95391     1.75747   0.0227474
         255     2.33018     1.75972   0.0227688
         256     2.21562      1.7615   0.0227494
         257     2.11626     1.76288   0.0227028
         258     1.98658     1.76375   0.0226313
         259     2.93988     1.76829    0.022995
         260     2.82028     1.77233   0.0232598
         261     2.69452     1.77587   0.0234375
         262     2.57255     1.77891   0.0235445
         263     2.20895     1.78054   0.0235117
         264     2.03164      1.7815   0.0234418
         265     2.47249      1.7841    0.023498
         266     2.66667     1.78742   0.0236427
         267     2.28269     1.78928   0.0236268
         268     2.45886     1.79177   0.0236704
         269     2.22484     1.79338   0.0236371
         270     2.74579     1.79691   0.0238113
         271      2.6204     1.79995   0.0239165
         272     2.76422      1.8035   0.0240899
         273     2.96144     1.80774   0.0243722
         274     3.04553     1.81225   0.0246984
         275     2.96342     1.81644   0.0249608
         276     2.64045     1.81943   0.0250483
         277     2.64527     1.82241   0.0251347
         278     2.01808     1.82311   0.0250541
         279     1.82729     1.82313   0.0249643
         280     2.25811     1.82468   0.0249234
         281     2.07055     1.82555   0.0248501
         282     2.13066     1.82664   0.0247855
         283     2.21743     1.82802   0.0247364
         284     1.98151     1.82856   0.0246552
         285     1.94203     1.82896   0.0245719
         286     1.84324     1.82901    0.024486
         287     1.88746     1.82921   0.0244015
         288     2.11551      1.8302   0.0243371
         289     1.92677     1.83054   0.0242551
         290     1.96283     1.83099   0.0241758
