#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -7.40635    -7.57364   0.0151319
         154    -7.45601    -7.57288   0.0150529
         155    -7.53014    -7.57261   0.0149583
         156    -7.47705    -7.57199   0.0148749
         157    -7.48501    -7.57144   0.0147905
         158    -7.51507    -7.57108   0.0147012
         159    -7.48603    -7.57055   0.0146185
         160    -7.49876     -7.5701    0.014534
         161    -7.46749    -7.56946   0.0144577
         162    -7.55156    -7.56935   0.0143689
         163    -7.46813    -7.56873   0.0142941
         164    -7.45416    -7.56803    0.014224
         165     -7.4458    -7.56729   0.0141571
         166    -7.50495    -7.56691   0.0140768
         167    -7.53786    -7.56674   0.0139936
         168    -7.51313    -7.56642   0.0139139
         169    -7.51941    -7.56614   0.0138344
         170    -7.45018    -7.56546   0.0137698
         171    -7.50691    -7.56512   0.0136935
         172    -7.52148    -7.56486   0.0136163
         173    -7.51233    -7.56456   0.0135409
         174    -7.53381    -7.56438   0.0134643
         175    -7.53408    -7.56421   0.0133884
         176    -7.46019    -7.56362   0.0133254
         177    -7.39163    -7.56265   0.0132855
         178    -7.40833    -7.56178   0.0132391
         179    -7.34378    -7.56056   0.0132211
         180    -7.35688    -7.55943    0.013196
         181    -7.45223    -7.55884   0.0131363
         182    -7.49087    -7.55847   0.0130695
         183    -7.47428    -7.55801   0.0130061
         184     -7.5601    -7.55802   0.0129355
         185    -7.48596    -7.55763   0.0128714
         186    -7.48462    -7.55724   0.0128082
         187    -7.52812    -7.55708   0.0127406
         188    -7.48021    -7.55667   0.0126794
         189    -7.42606    -7.55598   0.0126312
         190    -7.39583    -7.55514   0.0125928
         191    -7.48363    -7.55476   0.0125324
         192    -7.47391    -7.55434   0.0124742
         193    -7.50063    -7.55406   0.0124127
         194    -7.59529    -7.55428   0.0123505
         195    -7.48886    -7.55394   0.0122917
         196    -7.48606    -7.55359   0.0122339
         197     -7.5483    -7.55357   0.0121718
         198    -7.65255    -7.55407   0.0121206
         199    -7.52724    -7.55393   0.0120605
         200    -7.58097    -7.55407   0.0120009
         201     -7.6486    -7.55454   0.0119504
         202    -7.66792     -7.5551   0.0119044
         203    -7.61411    -7.55539   0.0118493
         204    -7.56026    -7.55541   0.0117913
         205     -7.5748    -7.55551   0.0117341
         206    -7.54138    -7.55544   0.0116774
         207    -7.57203    -7.55552   0.0116212
         208    -7.54762    -7.55548   0.0115654
         209    -7.47193    -7.55508    0.011517
         210    -7.48648    -7.55476   0.0114668
         211    -7.48052     -7.5544   0.0114178
         212    -7.47915    -7.55405   0.0113695
         213    -7.39075    -7.55328   0.0113419
         214    -7.43585    -7.55273   0.0113022
         215    -7.51962    -7.55258   0.0112507
         216    -7.47504    -7.55222   0.0112043
         217    -7.52361    -7.55209   0.0111535
         218    -7.52909    -7.55198   0.0111028
         219    -7.53759    -7.55192   0.0110523
         220    -7.51312    -7.55174   0.0110035
         221    -7.48412    -7.55144   0.0109579
         222     -7.5666     -7.5515   0.0109088
         223    -7.57974    -7.55163   0.0108606
         224    -7.51985    -7.55149    0.010813
         225    -7.59649    -7.55169   0.0107668
         226    -7.58474    -7.55183   0.0107202
         227    -7.60468    -7.55207   0.0106755
         228    -7.54373    -7.55203   0.0106287
         229     -7.5758    -7.55213   0.0105828
         230    -7.59583    -7.55232   0.0105385
         231    -7.55832    -7.55235   0.0104929
         232    -7.62356    -7.55266   0.0104522
         233    -7.60219    -7.55287   0.0104095
         234    -7.64452    -7.55326   0.0103724
         235    -7.65141    -7.55368   0.0103366
         236    -7.67433    -7.55419   0.0103055
         237     -7.7097    -7.55485   0.0102829
         238    -7.66496    -7.55531   0.0102501
         239    -7.61176    -7.55555   0.0102099
         240    -7.58221    -7.55566    0.010168
         241    -7.63497    -7.55599   0.0101311
         242    -7.57992    -7.55608   0.0100897
         243    -7.52733    -7.55597   0.0100489
         244    -7.51361    -7.55579   0.0100092
         245     -7.5557    -7.55579  0.00996834
         246    -7.64869    -7.55617  0.00993497
         247    -7.59097    -7.55631  0.00989574
         248    -7.61522    -7.55655  0.00985869
         249    -7.55051    -7.55652  0.00981913
         250    -7.57552     -7.5566  0.00978014
         251    -7.60019    -7.55677  0.00974272
         252     -7.6283    -7.55706  0.00970819
         253    -7.61497    -7.55729  0.00967252
         254    -7.54802    -7.55725  0.00963451
         255    -7.54649    -7.55721  0.00959682
         256    -7.54358    -7.55715  0.00955948
         257    -7.54221     -7.5571  0.00952246
         258    -7.49525    -7.55686  0.00948857
         259    -7.49898    -7.55663  0.00945456
         260     -7.5224     -7.5565  0.00941912
         261    -7.52194    -7.55637  0.00938396
         262    -7.51358    -7.55621  0.00934956
         263    -7.55043    -7.55618  0.00931404
         264    -7.45293    -7.55579  0.00928697
         265    -7.44872    -7.55539  0.00926071
         266       -7.42    -7.55488  0.00923987
         267    -7.40134     -7.5543  0.00922314
         268    -7.34136    -7.55351  0.00922289
         269    -7.41351    -7.55299  0.00920327
         270    -7.50313     -7.5528  0.00917104
         271    -7.49153    -7.55258  0.00913999
         272    -7.49322    -7.55236  0.00910899
         273     -7.5158    -7.55223  0.00907661
         274    -7.57682    -7.55232  0.00904392
         275    -7.59627    -7.55248  0.00901245
         276    -7.53373    -7.55241  0.00898005
         277    -7.53874    -7.55236  0.00894777
         278    -7.53697     -7.5523  0.00891575
         279    -7.63478     -7.5526   0.0088887
         280    -7.57585    -7.55268  0.00885734
         281    -7.58413    -7.55279  0.00882652
         282    -7.49883     -7.5526   0.0087973
         283    -7.48952    -7.55238  0.00876904
         284    -7.54614    -7.55236  0.00873819
         285    -7.55089    -7.55235  0.00870753
         286    -7.58805    -7.55248  0.00867798
         287    -7.51629    -7.55235  0.00864866
         288    -7.60306    -7.55253  0.00862042
         289    -7.47632    -7.55226  0.00859462
         290    -7.50383     -7.5521  0.00856661
         291    -7.48623    -7.55187  0.00854016
         292     -7.5317     -7.5518  0.00851119
         293    -7.55459    -7.55181  0.00848215
         294    -7.49478    -7.55162  0.00845552
         295     -7.4888     -7.5514  0.00842953
         296    -7.47974    -7.55116  0.00840453
         297    -7.50475    -7.55101  0.00837769
         298    -7.54342    -7.55098  0.00834961
         299    -7.57741    -7.55107  0.00832215
         300    -7.60465    -7.55125  0.00829633
         301    -7.57118    -7.55131  0.00826903
         302    -7.57588    -7.55139  0.00824205
         303     -7.6783    -7.55181  0.00822548
         304    -7.69526    -7.55229  0.00821195
         305    -7.65033    -7.55261  0.00819131
         306    -7.64606    -7.55291  0.00817024
         307    -7.64247     -7.5532  0.00814883
         308    -7.68538    -7.55363  0.00813367
         309    -7.59561    -7.55377  0.00810848
         310    -7.59212    -7.55389  0.00808326
         311    -7.60817    -7.55407  0.00805916
         312    -7.59148    -7.55419  0.00803422
         313    -7.58032    -7.55427  0.00800898
         314     -7.6569     -7.5546  0.00799014
         315    -7.72491    -7.55514  0.00798305
         316    -7.65853    -7.55547  0.00796449
         317    -7.78145    -7.55618   0.0079712
         318    -7.74508    -7.55677  0.00796824
         319    -7.71254    -7.55726  0.00795821
         320    -7.65009    -7.55755  0.00793863
         321    -7.58302    -7.55763  0.00791429
         322    -7.58517    -7.55772  0.00789017
         323    -7.56606    -7.55774  0.00786579
         324    -7.53715    -7.55768  0.00784177
         325      -7.564     -7.5577  0.00781766
         326     -7.6516    -7.55799  0.00779899
         327    -7.71188    -7.55846  0.00778933
         328    -7.66846    -7.55879  0.00777279
         329    -7.64932    -7.55907  0.00775404
         330    -7.61819    -7.55925  0.00773261
         331     -7.6311    -7.55946   0.0077123
         332    -7.62393    -7.55966  0.00769151
         333    -7.65261    -7.55994  0.00767347
         334    -7.66578    -7.56025  0.00765704
         335    -7.69222    -7.56065  0.00764431
         336    -7.74472    -7.56119  0.00764117
         337    -7.64148    -7.56143   0.0076222
         338    -7.60973    -7.56158  0.00760099
         339    -7.58167    -7.56164   0.0075788
         340    -7.62208    -7.56181   0.0075586
         341    -7.65535    -7.56209  0.00754141
         342    -7.66415    -7.56239  0.00752526
         343    -7.68943    -7.56276  0.00751243
         344    -7.73936    -7.56327  0.00750811
         345    -7.67619     -7.5636  0.00749348
         346    -7.67108    -7.56391  0.00747826
         347     -7.6644     -7.5642  0.00746231
         348    -7.64875    -7.56444  0.00744482
         349    -7.50734    -7.56428  0.00742529
         350    -7.51432    -7.56413  0.00740545
         351    -7.44238    -7.56379  0.00739247
         352    -7.41063    -7.56335  0.00738426
         353      -7.405     -7.5629  0.00737695
         354    -7.42534    -7.56251  0.00736634
         355    -7.37865      -7.562  0.00736378
         356    -7.37898    -7.56148  0.00736102
         357    -7.50449    -7.56132  0.00734213
         358    -7.50039    -7.56115  0.00732359
         359    -7.54685    -7.56111   0.0073033
         360    -7.60343    -7.56123  0.00728396
         361      -7.671    -7.56153  0.00727013
         362    -7.61764    -7.56169   0.0072517
         363    -7.60711    -7.56181   0.0072328
         364    -7.60331    -7.56193  0.00721383
         365    -7.58462    -7.56199  0.00719433
         366    -7.66368    -7.56227  0.00718004
         367    -7.61515    -7.56241  0.00716192
         368    -7.55988    -7.56241  0.00714246
         369    -7.48601     -7.5622   0.0071261
         370    -7.52074    -7.56209  0.00710772
         371    -7.47074    -7.56184  0.00709283
         372    -7.41007    -7.56143  0.00708549
         373    -7.36165     -7.5609  0.00708671
         374    -7.35539    -7.56035  0.00708903
         375    -7.43411    -7.56001  0.00707811
         376    -7.35133    -7.55946  0.00708101
         377    -7.34103    -7.55888  0.00708589
         378    -7.40633    -7.55847  0.00707863
         379    -7.39934    -7.55805   0.0070724
         380    -7.35705    -7.55752  0.00707354
         381    -7.38612    -7.55707  0.00706926
         382    -7.41283     -7.5567  0.00706083
         383    -7.35749    -7.55618  0.00706153
         384    -7.43626    -7.55586  0.00705004
         385    -7.41362    -7.55549  0.00704141
         386    -7.42762    -7.55516  0.00703095
         387     -7.4744    -7.55495  0.00701588
         388    -7.56614    -7.55498  0.00699786
         389    -7.56479    -7.55501  0.00697991
         390    -7.50047    -7.55487  0.00696342
         391    -7.49587    -7.55472  0.00694724
         392    -7.50388    -7.55459  0.00693073
         393    -7.51807     -7.5545  0.00691372
         394    -7.50807    -7.55438  0.00689717
         395    -7.52421     -7.5543  0.00688014
         396    -7.48763    -7.55413  0.00686482
         397    -7.55384    -7.55413  0.00684753
         398    -7.45752    -7.55389  0.00683463
         399    -7.43497    -7.55359  0.00682399
         400    -7.45226    -7.55334  0.00681163
         401    -7.36693    -7.55287  0.00681049
         402    -7.35241    -7.55237  0.00681178
         403    -7.36823    -7.55192  0.00681019
         404    -7.40963    -7.55157  0.00680243
         405    -7.52894    -7.55151  0.00678586
         406    -7.50361    -7.55139  0.00677018
         407    -7.54631    -7.55138  0.00675355
         408    -7.54398    -7.55136  0.00673703
         409    -7.58125    -7.55143  0.00672095
         410     -7.4957     -7.5513  0.00670593
         411    -7.50764    -7.55119  0.00669046
         412    -7.44148    -7.55093  0.00667952
         413    -7.50658    -7.55082  0.00666421
         414    -7.46382    -7.55061  0.00665142
         415    -7.49979    -7.55049  0.00663652
         416    -7.54263    -7.55047  0.00662059
         417    -7.60488     -7.5506    0.006606
         418    -7.62286    -7.55077  0.00659246
         419    -7.59713    -7.55088  0.00657766
         420    -7.62231    -7.55105  0.00656419
         421    -7.65604     -7.5513  0.00655334
         422    -7.65593    -7.55155   0.0065425
         423    -7.57442     -7.5516  0.00652725
         424    -7.58907    -7.55169  0.00651246
         425    -7.60471    -7.55182  0.00649833
         426    -7.55544    -7.55182  0.00648308
         427    -7.65339    -7.55206  0.00647226
         428    -7.64668    -7.55228  0.00646091
         429    -7.62266    -7.55245  0.00644793
         430    -7.57482     -7.5525  0.00643315
         431    -7.52516    -7.55244  0.00641853
         432    -7.54858    -7.55243  0.00640368
         433    -7.52474    -7.55236  0.00638921
         434    -7.53162    -7.55231  0.00637467
         435    -7.50082     -7.5522  0.00636111
         436    -7.55361     -7.5522  0.00634652
         437    -7.50883     -7.5521  0.00633278
         438    -7.63697    -7.55229  0.00632128
         439    -7.60681    -7.55242   0.0063081
         440    -7.64688    -7.55263  0.00629742
         441    -7.66009    -7.55288  0.00628785
         442    -7.66167    -7.55312  0.00627844
         443    -7.64841    -7.55334  0.00626795
         444    -7.57955     -7.5534  0.00625411
         445    -7.58468    -7.55347  0.00624045
         446    -7.60472    -7.55358  0.00622752
         447    -7.57685    -7.55363  0.00621381
         448    -7.55318    -7.55363  0.00619994
         449    -7.60343    -7.55374  0.00618712
         450    -7.61455    -7.55388  0.00617485
         451    -7.58106    -7.55394  0.00616145
         452    -7.54492    -7.55392  0.00614785
         453    -7.50264    -7.55381  0.00613532
         454    -7.52365    -7.55374  0.00612217
         455    -7.47615    -7.55357  0.00611108
         456    -7.50199    -7.55346  0.00609873
         457    -7.52065    -7.55338  0.00608581
         458    -7.49809    -7.55326  0.00607372
         459    -7.45331    -7.55305  0.00606439
         460     -7.4977    -7.55293   0.0060524
         461    -7.53398    -7.55288  0.00603941
         462    -7.53367    -7.55284  0.00602648
         463    -7.58027     -7.5529  0.00601375
         464    -7.59707      -7.553  0.00600155
         465     -7.5169    -7.55292  0.00598914
         466    -7.60929    -7.55304  0.00597751
         467    -7.54949    -7.55303  0.00596472
         468    -7.57396    -7.55308  0.00595214
         469    -7.63402    -7.55325  0.00594195
         470    -7.55595    -7.55326  0.00592931
         471    -7.48808    -7.55312  0.00591834
         472    -7.47561    -7.55295  0.00590807
         473    -7.49031    -7.55282  0.00589707
         474    -7.47414    -7.55265  0.00588696
         475    -7.56013    -7.55267  0.00587459
         476    -7.54594    -7.55266  0.00586227
         477    -7.57517     -7.5527  0.00585017
         478     -7.6023    -7.55281  0.00583885
         479    -7.53656    -7.55277  0.00582676
         480    -7.55185    -7.55277  0.00581462
         481    -7.59802    -7.55287  0.00580329
         482    -7.50268    -7.55276  0.00579218
         483    -7.55466    -7.55277  0.00578019
         484    -7.58316    -7.55283  0.00576859
         485    -7.62831    -7.55298   0.0057588
         486    -7.66743    -7.55322  0.00575176
         487    -7.57709    -7.55327  0.00574016
         488    -7.59429    -7.55335  0.00572901
         489     -7.5849    -7.55342  0.00571766
         490    -7.58018    -7.55347  0.00570625
         491    -7.53635    -7.55344  0.00569473
         492    -7.52869    -7.55339  0.00568338
         493    -7.51498    -7.55331  0.00567239
         494    -7.51896    -7.55324  0.00566133
         495    -7.44565    -7.55302  0.00565407
         496    -7.43542    -7.55278  0.00564764
         497     -7.5123     -7.5527  0.00563686
         498    -7.49921     -7.5526  0.00562656
         499    -7.42637    -7.55234  0.00562097
         500    -7.54391    -7.55233  0.00560975
         501     -7.4887     -7.5522      0.0056
         502    -7.50674    -7.55211  0.00558957
         503    -7.51403    -7.55203  0.00557897
         504    -7.53299    -7.55199  0.00556803
         505    -7.49965    -7.55189  0.00555797
         506    -7.55487     -7.5519  0.00554699
         507    -7.50462     -7.5518  0.00553683
         508     -7.5755    -7.55185  0.00552613
         509    -7.58823    -7.55192  0.00551573
         510    -7.57417    -7.55197  0.00550509
         511     -7.5605    -7.55198  0.00549434
         512    -7.47583    -7.55183  0.00548562
         513     -7.5775    -7.55188  0.00547516
         514    -7.55758    -7.55189  0.00546452
         515    -7.56222    -7.55191  0.00545394
         516    -7.51452    -7.55184  0.00544386
         517    -7.47766     -7.5517  0.00543522
         518    -7.52466    -7.55165  0.00542497
         519    -7.47309     -7.5515  0.00541663
         520    -7.43254    -7.55127  0.00541105
         521    -7.47044    -7.55111  0.00540288
         522    -7.43853     -7.5509  0.00539684
         523    -7.45946    -7.55072  0.00538935
         524    -7.47919    -7.55058  0.00538079
         525    -7.50253    -7.55049  0.00537132
         526    -7.50515    -7.55041   0.0053618
         527    -7.47435    -7.55026  0.00535357
         528    -7.52873    -7.55022  0.00534358
         529    -7.57895    -7.55028  0.00533376
         530    -7.54411    -7.55026  0.00532371
         531    -7.51234    -7.55019  0.00531416
         532    -7.51546    -7.55013  0.00530457
         533    -7.53695     -7.5501  0.00529468
         534    -7.52022    -7.55005  0.00528506
         535    -7.51552    -7.54998  0.00527557
         536    -7.53607    -7.54996   0.0052658
         537     -7.5178     -7.5499  0.00525633
         538    -7.47103    -7.54975   0.0052486
         539    -7.52031     -7.5497  0.00523915
         540    -7.47103    -7.54955  0.00523147
         541    -7.48504    -7.54943  0.00522316
         542    -7.55255    -7.54944  0.00521353
         543    -7.55269    -7.54944  0.00520393
         544    -7.54342    -7.54943  0.00519438
         545    -7.55533    -7.54944  0.00518486
         546    -7.57764    -7.54949  0.00517562
         547    -7.61574    -7.54961  0.00516757
         548    -7.62937    -7.54976  0.00516019
         549    -7.57787    -7.54981  0.00515105
         550    -7.59117    -7.54989  0.00514223
         551    -7.61279       -7.55  0.00513416
         552    -7.64166    -7.55017  0.00512755
         553    -7.67191    -7.55039    0.005123
         554    -7.71243    -7.55068   0.0051221
         555    -7.58976    -7.55075  0.00511335
         556    -7.54453    -7.55074  0.00510417
         557    -7.57407    -7.55078  0.00509517
         558    -7.61534     -7.5509  0.00508736
         559    -7.63533    -7.55105   0.0050805
         560    -7.65867    -7.55124  0.00507506
         561     -7.6397     -7.5514  0.00506846
         562    -7.68111    -7.55163   0.0050647
         563    -7.65486    -7.55181  0.00505902
         564    -7.66217    -7.55201  0.00505383
         565    -7.64521    -7.55217  0.00504758
         566    -7.71357    -7.55246  0.00504671
         567    -7.64589    -7.55262   0.0050405
         568    -7.69224    -7.55287  0.00503761
         569    -7.67425    -7.55308  0.00503328
         570    -7.70471    -7.55335  0.00503147
         571    -7.65445    -7.55352  0.00502577
         572    -7.62809    -7.55365  0.00501868
         573    -7.57884     -7.5537  0.00501011
         574     -7.5697    -7.55373  0.00500146
         575    -7.57702    -7.55377  0.00499293
         576    -7.53149    -7.55373  0.00498441
         577    -7.53603     -7.5537  0.00497586
         578    -7.58667    -7.55375  0.00496758
         579    -7.59894    -7.55383  0.00495961
         580    -7.56765    -7.55386  0.00495112
         581    -7.57656     -7.5539  0.00494275
         582    -7.57457    -7.55393  0.00493439
         583    -7.65121     -7.5541  0.00492874
         584    -7.60324    -7.55418  0.00492102
         585    -7.62455     -7.5543  0.00491408
         586    -7.59162    -7.55437  0.00490611
         587    -7.55442    -7.55437  0.00489775
         588    -7.51518     -7.5543  0.00488987
         589    -7.60469    -7.55438  0.00488232
         590    -7.61461    -7.55449  0.00487511
         591    -7.55602    -7.55449  0.00486686
         592    -7.47507    -7.55436  0.00486049
         593    -7.49274    -7.55425  0.00485341
         594    -7.59431    -7.55432   0.0048457
         595    -7.52711    -7.55427  0.00483777
         596    -7.49819    -7.55418  0.00483057
         597    -7.49936    -7.55409  0.00482335
         598    -7.50532    -7.55401  0.00481598
         599    -7.51987    -7.55395  0.00480827
         600    -7.50759    -7.55387  0.00480088
         601    -7.54203    -7.55385  0.00479293
         602    -7.57753    -7.55389  0.00478513
         603    -7.57236    -7.55392   0.0047773
         604    -7.56513    -7.55394  0.00476942
         605    -7.58158    -7.55399  0.00476176
         606    -7.58312    -7.55403  0.00475414
         607    -7.59663     -7.5541  0.00474683
         608    -7.57734    -7.55414  0.00473918
         609    -7.53655    -7.55411  0.00473148
         610    -7.65186    -7.55427  0.00472644
         611    -7.57375    -7.55431  0.00471881
         612    -7.56115    -7.55432  0.00471111
         613    -7.54811    -7.55431  0.00470344
         614     -7.5136    -7.55424  0.00469624
         615     -7.5716    -7.55427  0.00468869
         616     -7.4932    -7.55417  0.00468213
         617    -7.49719    -7.55408  0.00467545
         618    -7.52862    -7.55404  0.00466807
         619    -7.51741    -7.55398   0.0046609
         620    -7.64219    -7.55412  0.00465555
         621    -7.65476    -7.55428  0.00465088
         622    -7.68845     -7.5545   0.0046484
         623    -7.62842    -7.55462  0.00464245
         624    -7.66777     -7.5548  0.00463855
         625    -7.70046    -7.55503  0.00463698
         626    -7.68834    -7.55524  0.00463446
         627    -7.64194    -7.55538  0.00462913
         628    -7.63458    -7.55551  0.00462348
         629    -7.58342    -7.55555  0.00461634
         630    -7.56971    -7.55557  0.00460907
         631    -7.60721    -7.55566  0.00460249
         632      -7.603    -7.55573  0.00459582
         633    -7.61912    -7.55583  0.00458965
         634    -7.58463    -7.55588  0.00458263
         635    -7.59656    -7.55594  0.00457587
