#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         121 5.40587e+07        -nan         nan
         122 2.20947e+10        -nan         nan
         123 2.11529e+15        -nan         nan
         124 4.12839e+06        -nan         nan
         125  2.7082e+06        -nan         nan
         126 8.26233e+08        -nan         nan
         127  6.6486e+09        -nan         nan
         128 5.48293e+10        -nan         nan
         129 7.48076e+07        -nan         nan
         130  2.0239e+06        -nan         nan
         131  2.2991e+07        -nan         nan
         132 2.77698e+13        -nan         nan
         133  6.2454e+06        -nan         nan
         134 1.38145e+11        -nan         nan
         135 7.86402e+07        -nan         nan
         136  1.8774e+11        -nan         nan
         137 1.14042e+07        -nan         nan
         138 2.56708e+06        -nan         nan
         139 7.50712e+08        -nan         nan
         140 6.92191e+06        -nan         nan
         141 5.06289e+14        -nan         nan
         142 1.81482e+09        -nan         nan
         143 8.88855e+09        -nan         nan
         144 2.04885e+07        -nan         nan
         145 2.38555e+08        -nan         nan
         146 3.83821e+12        -nan         nan
         147 8.84902e+11        -nan         nan
         148 2.21121e+08        -nan         nan
         149 3.43196e+09        -nan         nan
         150 1.01623e+08        -nan         nan
         151 2.44045e+10        -nan         nan
         152 5.01958e+09        -nan         nan
         153 1.31125e+12        -nan         nan
         154      920185        -nan         nan
         155 2.88929e+06        -nan         nan
         156 1.52003e+07        -nan         nan
         157 6.08294e+09        -nan         nan
         158 2.04663e+06        -nan         nan
         159 3.39395e+13        -nan         nan
         160 1.33289e+11        -nan         nan
         161  4.9461e+15        -nan         nan
         162        -nan        -nan         nan
         163 1.05331e+09        -nan         nan
         164 3.86145e+06        -nan         nan
         165 9.76795e+10        -nan         nan
         166 2.77913e+09        -nan         nan
         167 1.08907e+08        -nan         nan
         168 3.08256e+09        -nan         nan
         169 7.61151e+07        -nan         nan
         170 2.07214e+09        -nan         nan
         171 1.53801e+11        -nan         nan
         172 1.33715e+07        -nan         nan
         173  1.8095e+10        -nan         nan
         174  2.5241e+06        -nan         nan
         175  6.6731e+13        -nan         nan
         176 2.40294e+08        -nan         nan
         177 3.37327e+06        -nan         nan
         178 1.29285e+09        -nan         nan
         179 5.32414e+08        -nan         nan
         180 5.94915e+07        -nan         nan
         181 1.72342e+09        -nan         nan
         182 1.46614e+08        -nan         nan
         183 1.59924e+11        -nan         nan
         184 4.62963e+06        -nan         nan
         185 7.85691e+10        -nan         nan
         186 2.20948e+09        -nan         nan
         187 2.84797e+06        -nan         nan
         188 4.16742e+06        -nan         nan
         189 2.65585e+09        -nan         nan
         190 1.38093e+12        -nan         nan
         191 1.95879e+09        -nan         nan
         192  1.7636e+10        -nan         nan
         193 5.34269e+10        -nan         nan
         194 5.59288e+10        -nan         nan
         195 3.52034e+07        -nan         nan
         196 6.02118e+09        -nan         nan
         197 1.53963e+13        -nan         nan
         198 2.37726e+09        -nan         nan
         199  4.6213e+07        -nan         nan
         200 2.07856e+07        -nan         nan
         201 2.25465e+11        -nan         nan
         202 2.81846e+09        -nan         nan
         203 1.09416e+07        -nan         nan
         204 2.60702e+11        -nan         nan
         205 4.42086e+08        -nan         nan
         206 4.05027e+14        -nan         nan
         207 8.27089e+09        -nan         nan
         208 8.37456e+06        -nan         nan
         209 3.83252e+10        -nan         nan
         210 9.76456e+08        -nan         nan
