#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.28445     1.78577   0.0180316
         148     1.27559     1.78232   0.0182363
         149     1.26682     1.77886   0.0184391
         150     1.25816     1.77539   0.0186401
         151      1.2496     1.77191   0.0188391
         152     1.24115     1.76842    0.019036
         153     1.23281     1.76492   0.0192308
         154     1.22459     1.76141   0.0194233
         155     1.21649     1.75789   0.0196136
         156     1.20851     1.75437   0.0198015
         157     1.20066     1.75084    0.019987
         158     1.19295     1.74731     0.02017
         159     1.18537     1.74378   0.0203504
         160     1.17793     1.74024   0.0205282
         161     1.17064      1.7367   0.0207034
         162     1.16349     1.73317   0.0208757
         163      1.1565     1.72963   0.0210453
         164     1.14967     1.72609    0.021212
         165     1.14299     1.72256   0.0213758
         166     1.13648     1.71903   0.0215366
         167     1.13014      1.7155   0.0216944
         168     1.12396     1.71198   0.0218492
         169     1.11796     1.70847   0.0220008
         170     1.11214     1.70496   0.0221493
         171      1.1065     1.70146   0.0222945
         172     1.10104     1.69797   0.0224365
         173     1.09577     1.69449   0.0225752
         174     1.09068     1.69102   0.0227106
         175     1.08579     1.68756   0.0228427
         176     1.08109     1.68411   0.0229713
         177     1.07659     1.68068   0.0230965
         178     1.07229     1.67726   0.0232183
         179     1.06818     1.67386   0.0233366
         180     1.06427     1.67047   0.0234514
         181     1.06057      1.6671   0.0235627
         182     1.05707     1.66375   0.0236704
         183     1.05377     1.66042   0.0237746
         184     1.05068      1.6571   0.0238752
         185     1.04779     1.65381   0.0239722
         186      1.0451     1.65054   0.0240657
         187     1.04261     1.64729   0.0241556
         188     1.04033     1.64406   0.0242419
         189     1.03824     1.64085   0.0243246
         190     1.03634     1.63767   0.0244038
         191     1.03464     1.63451   0.0244794
         192     1.03313     1.63138   0.0245515
         193     1.03181     1.62828     0.02462
         194     1.03067     1.62519   0.0246851
         195     1.02971     1.62214   0.0247466
         196     1.02893     1.61911   0.0248048
         197     1.02831     1.61612   0.0248595
         198     1.02786     1.61314   0.0249108
         199     1.02757      1.6102   0.0249589
         200     1.02743     1.60729   0.0250036
         201     1.02744      1.6044    0.025045
         202      1.0276     1.60155   0.0250833
         203     1.02788     1.59872   0.0251184
         204      1.0283     1.59593   0.0251505
         205     1.02883     1.59316   0.0251794
         206     1.02948     1.59042   0.0252055
         207     1.03024     1.58772   0.0252286
         208      1.0311     1.58504   0.0252488
         209     1.03205     1.58239   0.0252662
         210     1.03308     1.57978    0.025281
         211      1.0342     1.57719    0.025293
         212     1.03539     1.57464   0.0253025
         213     1.03664     1.57211   0.0253095
         214     1.03795     1.56962    0.025314
         215     1.03931     1.56715   0.0253161
         216     1.04072     1.56471    0.025316
         217     1.04217      1.5623   0.0253136
         218     1.04364     1.55992    0.025309
         219     1.04515     1.55757   0.0253024
         220     1.04667     1.55525   0.0252937
         221     1.04821     1.55296   0.0252831
         222     1.04975     1.55069   0.0252706
         223      1.0513     1.54845   0.0252563
         224     1.05286     1.54624   0.0252403
         225     1.05441     1.54405   0.0252226
         226     1.05594     1.54189   0.0252033
         227     1.05747     1.53976   0.0251824
         228     1.05898     1.53765   0.0251601
         229     1.06048     1.53557   0.0251364
         230     1.06195     1.53351   0.0251113
         231     1.06339     1.53147   0.0250849
         232     1.06481     1.52946   0.0250573
         233      1.0662     1.52747   0.0250285
         234     1.06757     1.52551   0.0249986
         235     1.06889     1.52356   0.0249676
         236     1.07019     1.52164   0.0249356
         237     1.07145     1.51974   0.0249027
         238     1.07268     1.51787   0.0248688
         239     1.07387     1.51601    0.024834
         240     1.07502     1.51417   0.0247984
         241     1.07614     1.51235   0.0247621
         242     1.07723     1.51055   0.0247249
         243     1.07827     1.50878   0.0246871
         244     1.07928     1.50702   0.0246486
         245     1.08026     1.50527   0.0246095
         246      1.0812     1.50355   0.0245697
         247      1.0821     1.50184   0.0245294
         248     1.08297     1.50015   0.0244886
         249     1.08381     1.49848   0.0244473
         250     1.08462     1.49683   0.0244055
         251      1.0854     1.49519   0.0243632
         252     1.08615     1.49356   0.0243205
         253     1.08688     1.49196   0.0242775
         254     1.08757     1.49037    0.024234
         255     1.08825     1.48879   0.0241903
         256     1.08889     1.48723   0.0241461
         257     1.08952     1.48568   0.0241017
         258     1.09012     1.48415    0.024057
         259     1.09071     1.48263   0.0240121
         260     1.09128     1.48112   0.0239668
         261     1.09183     1.47963   0.0239214
         262     1.09236     1.47815   0.0238757
         263     1.09288     1.47669   0.0238298
         264     1.09339     1.47523   0.0237837
         265     1.09389      1.4738   0.0237375
         266     1.09437     1.47237   0.0236911
         267     1.09485     1.47096   0.0236445
         268     1.09532     1.46955   0.0235978
         269     1.09578     1.46816   0.0235509
         270     1.09623     1.46679   0.0235039
         271     1.09668     1.46542   0.0234568
         272     1.09712     1.46407   0.0234097
         273     1.09756     1.46272   0.0233624
         274     1.09799     1.46139    0.023315
         275     1.09842     1.46007   0.0232676
         276     1.09884     1.45876     0.02322
         277     1.09926     1.45747   0.0231724
         278     1.09968     1.45618   0.0231248
         279     1.10009      1.4549   0.0230771
         280      1.1005     1.45364   0.0230294
         281     1.10091     1.45238   0.0229816
         282     1.10131     1.45114   0.0229338
         283     1.10171      1.4499    0.022886
         284     1.10211     1.44868   0.0228381
         285      1.1025     1.44746   0.0227903
         286     1.10289     1.44626   0.0227424
         287     1.10327     1.44506   0.0226946
         288     1.10365     1.44388   0.0226467
         289     1.10402      1.4427   0.0225988
         290     1.10439     1.44154    0.022551
         291     1.10475     1.44038   0.0225032
         292      1.1051     1.43923   0.0224554
         293     1.10545     1.43809   0.0224076
         294     1.10579     1.43696   0.0223599
         295     1.10613     1.43584   0.0223122
         296     1.10645     1.43473   0.0222646
         297     1.10677     1.43362    0.022217
         298     1.10708     1.43253   0.0221694
         299     1.10738     1.43144   0.0221219
         300     1.10768     1.43036   0.0220745
         301     1.10796     1.42929   0.0220271
         302     1.10824     1.42823   0.0219798
         303     1.10851     1.42717   0.0219326
         304     1.10877     1.42612   0.0218855
         305     1.10903     1.42508   0.0218384
         306     1.10927     1.42405   0.0217914
         307     1.10951     1.42303   0.0217445
         308     1.10975     1.42201   0.0216977
         309     1.10998       1.421   0.0216509
         310      1.1102        1.42   0.0216043
         311     1.11042       1.419   0.0215577
         312     1.11064     1.41801   0.0215113
         313     1.11086     1.41703   0.0214649
         314     1.11107     1.41606   0.0214187
         315     1.11129     1.41509   0.0213725
         316      1.1115     1.41413   0.0213265
         317     1.11172     1.41318   0.0212805
         318     1.11194     1.41223   0.0212347
         319     1.11217     1.41129   0.0211889
         320      1.1124     1.41035   0.0211433
         321     1.11264     1.40943   0.0210978
         322     1.11288     1.40851   0.0210523
         323     1.11314     1.40759    0.021007
         324      1.1134     1.40668   0.0209618
         325     1.11368     1.40578   0.0209167
         326     1.11396     1.40489   0.0208716
         327     1.11426       1.404   0.0208267
         328     1.11457     1.40311   0.0207819
         329     1.11489     1.40224   0.0207372
         330     1.11523     1.40137   0.0206926
         331     1.11558     1.40051   0.0206481
         332     1.11594     1.39965   0.0206037
         333     1.11631      1.3988   0.0205594
         334      1.1167     1.39795   0.0205152
         335      1.1171     1.39711    0.020471
         336     1.11751     1.39628    0.020427
         337     1.11793     1.39546   0.0203831
         338     1.11836     1.39464   0.0203393
         339      1.1188     1.39382   0.0202955
         340     1.11924     1.39302   0.0202519
         341     1.11969     1.39221   0.0202084
         342     1.12015     1.39142   0.0201649
         343      1.1206     1.39063   0.0201216
         344     1.12106     1.38985   0.0200784
         345     1.12151     1.38907   0.0200352
         346     1.12196      1.3883   0.0199922
         347      1.1224     1.38753   0.0199492
         348     1.12284     1.38677   0.0199064
         349     1.12326     1.38601   0.0198637
         350     1.12367     1.38526   0.0198211
         351     1.12407     1.38452   0.0197786
         352     1.12445     1.38378   0.0197362
         353     1.12481     1.38305   0.0196939
         354     1.12515     1.38232   0.0196517
         355     1.12547      1.3816   0.0196097
         356     1.12576     1.38088   0.0195678
         357     1.12602     1.38016    0.019526
         358     1.12626     1.37945   0.0194843
         359     1.12646     1.37875   0.0194428
         360     1.12663     1.37805   0.0194014
         361     1.12677     1.37735   0.0193601
         362     1.12687     1.37666    0.019319
         363     1.12694     1.37597    0.019278
         364     1.12697     1.37529   0.0192372
         365     1.12696     1.37461   0.0191965
         366     1.12692     1.37393    0.019156
