#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         134   0.0624887   0.0492193 0.000746469
         135     0.05601   0.0492696 0.000742632
         136   0.0599138   0.0493478 0.000741285
         137   0.0487565   0.0493435 0.000735886
         138     0.04594   0.0493188 0.000730967
         139   0.0374725   0.0492336  0.00073066
         140   0.0457383   0.0492087 0.000725867
         141    0.052709   0.0492335 0.000721144
         142   0.0493861   0.0492346 0.000716066
         143   0.0405636   0.0491739 0.000713621
         144   0.0449005   0.0491442 0.000709282
         145   0.0532979   0.0491729 0.000704969
         146   0.0412936   0.0491189 0.000702203
         147   0.0461458   0.0490987 0.000697717
         148   0.0432686   0.0490593 0.000694114
         149   0.0408913   0.0490045 0.000691617
         150   0.0495433   0.0490081 0.000687015
         151   0.0557933    0.049053 0.000683934
         152    0.046902   0.0490389 0.000679581
         153   0.0590375   0.0491042 0.000678274
         154   0.0763297    0.049281 0.000696528
         155   0.0597508   0.0493485 0.000695302
         156   0.0488613   0.0493454 0.000690852
         157   0.0523761   0.0493647 0.000686721
         158   0.0590099   0.0494258 0.000685083
         159   0.0518842   0.0494412 0.000680948
         160   0.0423477   0.0493969 0.000678134
         161   0.0369135   0.0493194  0.00067834
         162   0.0507805   0.0493284 0.000674213
         163   0.0656556   0.0494285 0.000677477
         164   0.0541327   0.0494572 0.000673953
         165   0.0554076   0.0494933 0.000670832
         166   0.0440573   0.0494605  0.00066759
         167   0.0467895   0.0494446 0.000663784
         168   0.0407143   0.0493926 0.000661864
         169   0.0478322   0.0493834 0.000658012
         170   0.0425471   0.0493431 0.000655369
         171   0.0388445   0.0492817 0.000654406
         172   0.0358681   0.0492038 0.000655231
         173   0.0417964   0.0491609 0.000652841
         174   0.0441433   0.0491321 0.000649726
         175   0.0459038   0.0491137 0.000646275
         176   0.0473143   0.0491034 0.000642684
         177    0.056903   0.0491475 0.000640562
         178   0.0357488   0.0490722 0.000641371
         179   0.0413623   0.0490292 0.000639232
         180   0.0394687    0.048976 0.000637884
         181   0.0410305   0.0489321 0.000635868
         182   0.0426774   0.0488978 0.000633303
         183   0.0566683   0.0489402 0.000631264
         184   0.0466908    0.048928 0.000627951
         185   0.0457345   0.0489107 0.000624794
         186   0.0584147   0.0489618 0.000623521
         187   0.0541417   0.0489895 0.000620802
         188   0.0418195   0.0489514  0.00061867
         189    0.040158   0.0489049 0.000617144
         190   0.0496232   0.0489087 0.000613907
         191   0.0600721   0.0489671 0.000613469
         192   0.0700087   0.0490767 0.000619985
         193   0.0527086   0.0490955 0.000617058
         194   0.0580601   0.0491417 0.000615605
         195   0.0531642   0.0491624 0.000612794
         196    0.042306   0.0491274 0.000610665
         197   0.0434047   0.0490983 0.000608256
         198   0.0494166   0.0490999 0.000605186
         199   0.0421468    0.049065 0.000603153
         200   0.0440401   0.0490399  0.00060066
         201   0.0480235   0.0490348 0.000597693
         202   0.0472047   0.0490258 0.000594803
         203   0.0488854   0.0490251 0.000591873
         204   0.0620384   0.0490889 0.000592399
         205   0.0542152   0.0491139 0.000590037
         206   0.0502791   0.0491195   0.0005872
         207   0.0500358   0.0491239  0.00058438
         208   0.0367064   0.0490642 0.000584612
         209   0.0356488   0.0490001 0.000585328
         210    0.051806   0.0490134 0.000582693
         211   0.0510334    0.049023  0.00058001
         212   0.0450609   0.0490043 0.000577575
         213   0.0398801   0.0489615  0.00057645
         214   0.0414996   0.0489266  0.00057481
         215    0.036762     0.04887 0.000574914
         216   0.0423173   0.0488397 0.000573053
         217   0.0408798    0.048803 0.000571585
         218   0.0438949   0.0487805 0.000569406
         219   0.0600235   0.0488318 0.000569115
         220   0.0613778   0.0488888 0.000569379
         221    0.053541   0.0489099 0.000567191
         222   0.0420393   0.0488789  0.00056548
         223   0.0368765   0.0488251   0.0005655
         224   0.0416098   0.0487929 0.000563892
         225   0.0395418   0.0487518 0.000562883
         226   0.0510404   0.0487619 0.000560483
         227   0.0453203   0.0487468 0.000558219
         228   0.0409884   0.0487127 0.000556807
         229   0.0447602   0.0486955 0.000554643
         230   0.0474958   0.0486903 0.000552256
         231   0.0546371    0.048716 0.000550465
         232   0.0384254   0.0486716 0.000549876
         233   0.0483307   0.0486702 0.000547518
         234   0.0383899   0.0486263 0.000546938
         235   0.0487441   0.0486268 0.000544611
         236   0.0500284   0.0486327 0.000542336
         237   0.0586109   0.0486748 0.000541679
         238   0.0461713   0.0486643 0.000539505
         239   0.0525595   0.0486806 0.000537494
         240   0.0426855   0.0486556 0.000535835
         241   0.0477061   0.0486517 0.000533626
         242   0.0594953   0.0486965 0.000533299
         243   0.0587403   0.0487378 0.000532703
         244   0.0479047   0.0487344 0.000530531
         245   0.0423616   0.0487084 0.000529003
         246   0.0438448   0.0486886 0.000527222
         247   0.0499892   0.0486939 0.000525114
         248   0.0463824   0.0486845 0.000523079
         249   0.0552243   0.0487108 0.000521637
         250   0.0379817   0.0486679 0.000521313
         251   0.0371465    0.048622 0.000521253
         252   0.0529128    0.048639 0.000519463
         253   0.0481807   0.0486372 0.000517413
         254   0.0454259   0.0486246  0.00051553
         255   0.0369812   0.0485789 0.000515526
         256   0.0390922   0.0485418 0.000514843
         257   0.0437446   0.0485232 0.000513178
         258   0.0501753   0.0485296 0.000511229
