#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         153   0.0613509   0.0488155 0.000565851
         154   0.0640187   0.0489143 0.000570723
         155   0.0479985   0.0489084 0.000567072
         156   0.0408014   0.0488564 0.000565813
         157     0.05015   0.0488646 0.000562269
         158   0.0468736    0.048852 0.000558851
         159   0.0530575   0.0488785 0.000555962
         160   0.0524913   0.0489011 0.000552946
         161   0.0539847   0.0489326 0.000550412
         162   0.0617454   0.0490117 0.000552668
         163   0.0547353   0.0490468 0.000550392
         164   0.0369037   0.0489728 0.000551993
         165   0.0477957   0.0489657 0.000548694
         166   0.0530437   0.0489902 0.000545938
         167   0.0576253   0.0490419 0.000545112
         168     0.05044   0.0490503 0.000541931
         169   0.0532842   0.0490753 0.000539303
         170   0.0437571    0.049044 0.000537038
         171   0.0472694   0.0490336 0.000533997
         172   0.0407138   0.0489853 0.000533079
         173    0.046316   0.0489698 0.000530221
         174   0.0504442   0.0489783 0.000527241
         175   0.0351534   0.0488993 0.000530114
         176   0.0508961   0.0489107 0.000527223
         177   0.0365267   0.0488407 0.000528867
         178   0.0374147   0.0487765 0.000529777
         179   0.0551176   0.0488119    0.000528
         180   0.0459486    0.048796 0.000525306
         181   0.0486556   0.0487953 0.000522405
         182   0.0597528   0.0488555 0.000522992
         183    0.060142   0.0489171 0.000523758
         184   0.0546222   0.0489481 0.000521829
         185    0.047996    0.048943 0.000519033
         186   0.0419157   0.0489052 0.000517616
         187   0.0391913   0.0488533 0.000517448
         188   0.0448655   0.0488321  0.00051513
         189   0.0441817   0.0488075 0.000512992
         190   0.0532863    0.048831 0.000510833
         191   0.0542796   0.0488595 0.000508955
         192   0.0486426   0.0488584 0.000506305
         193   0.0629399   0.0489314 0.000508912
         194   0.0592407   0.0489845 0.000509055
         195   0.0524734   0.0490024 0.000506759
         196   0.0497703   0.0490063 0.000504189
         197   0.0411051   0.0489662 0.000503222
         198   0.0519598   0.0489813 0.000500908
         199   0.0473279    0.048973  0.00049846
         200   0.0537081   0.0489967 0.000496529
         201   0.0350709   0.0489274 0.000498869
         202   0.0443065   0.0489045 0.000496924
         203   0.0402697    0.048862 0.000496293
         204   0.0383415   0.0488104 0.000496532
         205   0.0390029   0.0487626  0.00049641
         206   0.0399903     0.04872 0.000495823
         207   0.0517713   0.0487348 0.000493647
         208   0.0489721   0.0487359 0.000491275
         209   0.0443259   0.0487148 0.000489377
         210   0.0455357   0.0486997 0.000487281
         211   0.0616773   0.0487612 0.000488838
         212   0.0417677   0.0487282 0.000487644
         213   0.0482868   0.0487261 0.000485359
         214   0.0398233   0.0486845  0.00048487
         215   0.0356909   0.0486241 0.000486367
         216   0.0469596   0.0486164 0.000484176
         217   0.0504042   0.0486246 0.000482015
         218   0.0595156   0.0486746 0.000482386
         219   0.0517123   0.0486884 0.000480383
         220   0.0404448    0.048651 0.000479659
         221   0.0489857   0.0486525 0.000477491
         222   0.0637092   0.0487203 0.000480132
         223   0.0418542   0.0486895 0.000478965
         224   0.0489779   0.0486908 0.000476829
         225   0.0517939   0.0487046 0.000474909
         226    0.049121   0.0487064 0.000472811
         227   0.0384263   0.0486611 0.000472892
         228   0.0364913   0.0486078 0.000473821
         229   0.0517968   0.0486217 0.000471957
         230   0.0384404   0.0485774 0.000471976
         231   0.0498752    0.048583 0.000469966
         232    0.052815   0.0486013 0.000468294
         233    0.040656   0.0485672 0.000467524
         234   0.0406504   0.0485334 0.000466749
         235   0.0545443   0.0485589 0.000465463
         236   0.0456678   0.0485467 0.000463652
         237   0.0466704   0.0485388 0.000461763
         238   0.0422498   0.0485123 0.000460579
         239    0.062508   0.0485709 0.000462359
         240   0.0581927    0.048611 0.000462168
         241   0.0839698   0.0487577 0.000482977
         242   0.0637078   0.0488195 0.000484916
         243   0.0503016   0.0488256 0.000482959
         244   0.0618336   0.0488789 0.000483913
