#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.371226   -0.410267  0.00428847
         153   -0.351721   -0.409884  0.00427748
         154   -0.378017   -0.409677   0.0042547
         155   -0.423063   -0.409763  0.00422813
         156   -0.377249   -0.409555  0.00420616
         157   -0.383861   -0.409391  0.00418255
         158   -0.445463    -0.40962  0.00416231
         159    -0.40315   -0.409579  0.00413633
         160    -0.39442   -0.409484  0.00411156
         161   -0.390853   -0.409368  0.00408765
         162    -0.35832   -0.409053  0.00407455
         163   -0.371733   -0.408824  0.00405598
         164   -0.368561   -0.408579  0.00403867
         165   -0.406822   -0.408568  0.00401421
         166   -0.384816   -0.408425  0.00399257
         167   -0.365343   -0.408167  0.00397699
         168   -0.454614   -0.408444  0.00396292
         169   -0.412568   -0.408468  0.00393954
         170   -0.499335   -0.409002  0.00395246
         171   -0.448377   -0.409233  0.00393605
         172   -0.360161   -0.408947  0.00392349
         173   -0.334283   -0.408516  0.00392448
         174   -0.402934   -0.408484  0.00390206
         175   -0.379981   -0.408321  0.00388316
         176    -0.35996   -0.408046   0.0038708
         177   -0.390864   -0.407949  0.00385015
         178   -0.442842   -0.408145  0.00383351
         179   -0.333711   -0.407729  0.00383458
         180    -0.36244   -0.407478  0.00382152
         181   -0.368071    -0.40726  0.00380661
         182   -0.328766   -0.406829  0.00381004
         183   -0.370483    -0.40663   0.0037944
         184   -0.363985   -0.406398  0.00378085
         185   -0.435078   -0.406553  0.00376359
         186   -0.427989   -0.406669  0.00374512
         187   -0.452196   -0.406912  0.00373299
         188   -0.539757   -0.407619  0.00377942
         189   -0.472163    -0.40796  0.00377483
         190   -0.406348   -0.407952  0.00375497
         191   -0.398586   -0.407903  0.00373563
         192   -0.440884   -0.408074  0.00372012
         193   -0.451833   -0.408301  0.00370775
         194   -0.407373   -0.408296  0.00368864
         195   -0.370989   -0.408105  0.00367468
         196   -0.364658   -0.407883  0.00366261
         197   -0.421601   -0.407953  0.00364468
