#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         140     1.00029      1.0001 7.45351e-06
         141      1.0003      1.0001 7.53449e-06
         142      1.0003      1.0001 7.61578e-06
         143     1.00031      1.0001 7.69739e-06
         144     1.00031      1.0001 7.77931e-06
         145     1.00032     1.00011 7.86155e-06
         146     1.00032     1.00011  7.9441e-06
         147     1.00032     1.00011 8.02696e-06
         148     1.00033     1.00011 8.11013e-06
         149     1.00033     1.00011 8.19361e-06
         150     1.00034     1.00011  8.2774e-06
         151     1.00034     1.00011  8.3615e-06
         152     1.00035     1.00012  8.4459e-06
         153     1.00035     1.00012 8.53062e-06
         154     1.00036     1.00012 8.61564e-06
         155     1.00036     1.00012 8.70098e-06
         156     1.00037     1.00012 8.78663e-06
         157     1.00037     1.00012  8.8726e-06
         158     1.00038     1.00013 8.95887e-06
         159     1.00038     1.00013 9.04546e-06
         160     1.00039     1.00013 9.13235e-06
         161     1.00039     1.00013 9.21955e-06
         162      1.0004     1.00013 9.30705e-06
         163      1.0004     1.00013 9.39487e-06
         164     1.00041     1.00014   9.483e-06
         165     1.00041     1.00014 9.57144e-06
         166     1.00042     1.00014 9.66019e-06
         167     1.00042     1.00014 9.74925e-06
         168     1.00043     1.00014 9.83861e-06
         169     1.00043     1.00014 9.92828e-06
         170     1.00044     1.00015 1.00183e-05
         171     1.00044     1.00015 1.01085e-05
         172     1.00045     1.00015 1.01991e-05
         173     1.00045     1.00015   1.029e-05
         174     1.00046     1.00015 1.03811e-05
         175     1.00046     1.00015 1.04726e-05
         176     1.00047     1.00016 1.05644e-05
         177     1.00047     1.00016 1.06564e-05
         178     1.00048     1.00016 1.07488e-05
         179     1.00048     1.00016 1.08415e-05
         180     1.00049     1.00016 1.09344e-05
         181      1.0005     1.00016 1.10277e-05
         182      1.0005     1.00017 1.11213e-05
         183     1.00051     1.00017 1.12152e-05
         184     1.00051     1.00017 1.13094e-05
         185     1.00052     1.00017 1.14038e-05
         186     1.00052     1.00017 1.14986e-05
         187     1.00053     1.00018 1.15937e-05
         188     1.00054     1.00018 1.16891e-05
         189     1.00054     1.00018 1.17848e-05
         190     1.00055     1.00018 1.18808e-05
         191     1.00055     1.00018 1.19771e-05
         192     1.00056     1.00019 1.20737e-05
         193     1.00057     1.00019 1.21706e-05
         194     1.00057     1.00019 1.22679e-05
         195     1.00058     1.00019 1.23654e-05
         196     1.00058     1.00019 1.24632e-05
         197     1.00059      1.0002 1.25613e-05
         198      1.0006      1.0002 1.26597e-05
         199      1.0006      1.0002 1.27585e-05
         200     1.00061      1.0002 1.28575e-05
