#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.61507    -6.61507           0
           2     -6.5015    -6.55829    0.040152
           3    -6.41142    -6.50933    0.048106
           4    -6.33674    -6.46618   0.0519424
           5     -6.2379    -6.42053   0.0582613
           6    -6.18086    -6.38058   0.0607194
           7    -6.17641    -6.35141   0.0586338
           8    -6.19677    -6.33208    0.054398
           9    -6.17328    -6.31444   0.0511354
          10     -6.1626    -6.29926   0.0482235
          11    -6.17998    -6.28841   0.0450421
          12    -6.07126    -6.27032   0.0447765
          13     -5.9841     -6.2483   0.0464304
          14    -5.94433    -6.22659   0.0479224
          15    -5.88838    -6.20404   0.0497498
          16    -5.93212    -6.18704   0.0494581
          17    -5.88236    -6.16912   0.0496903
          18    -5.87456    -6.15276   0.0495512
          19    -5.84811    -6.13672   0.0494695
          20    -5.84979    -6.12238   0.0490322
          21    -5.85435    -6.10961     0.04833
          22    -5.89407    -6.09982   0.0471157
          23    -5.88491    -6.09047   0.0459844
          24     -5.8533    -6.08059   0.0451177
          25    -5.86368    -6.07191   0.0441393
          26    -5.90149    -6.06536   0.0429256
          27    -5.78551    -6.05499   0.0425687
          28    -5.71967    -6.04302   0.0426998
          29    -5.82875    -6.03563   0.0418617
          30    -5.93165    -6.03216   0.0406095
          31    -5.81885    -6.02528   0.0398783
          32      -5.766    -6.01718   0.0394467
          33    -5.77317    -6.00979   0.0389382
          34    -5.76428    -6.00257   0.0384566
          35    -5.87937    -5.99905   0.0375186
          36    -5.76853    -5.99264   0.0370188
          37    -5.94214    -5.99128   0.0360435
          38    -5.87941    -5.98833    0.035215
          39    -5.88393    -5.98566   0.0344136
          40    -5.82369    -5.98161   0.0337907
          41    -5.80637    -5.97733   0.0332357
          42    -5.85563    -5.97444   0.0325705
          43    -5.85333    -5.97162   0.0319346
          44    -5.85195     -5.9689   0.0313244
          45    -5.77027    -5.96449   0.0309377
          46    -5.73521     -5.9595    0.030664
          47     -5.7125    -5.95425   0.0304586
          48    -5.67335    -5.94839    0.030381
          49    -5.67917     -5.9429   0.0302537
          50    -5.74578    -5.93896   0.0299044
          51    -5.77457    -5.93573   0.0294913
          52    -5.76024    -5.93236   0.0291166
          53    -5.73284    -5.92859   0.0288095
          54    -5.67752    -5.92394   0.0286488
          55    -5.64381    -5.91885   0.0285771
          56    -5.57702    -5.91275   0.0287113
          57    -5.63862    -5.90794   0.0286075
          58    -5.61434    -5.90288   0.0285586
          59    -5.61672    -5.89803   0.0284835
          60    -5.59919    -5.89305   0.0284409
          61    -5.53718    -5.88721   0.0285667
          62    -5.43793    -5.87997   0.0290105
          63     -5.4899    -5.87377   0.0292032
          64    -5.50192    -5.86796   0.0293192
          65     -5.4761    -5.86193   0.0294814
