#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.563307    0.908008   0.0332223
         169    0.567073    0.905991   0.0330869
         170    0.570795    0.904019    0.032951
         171    0.574471    0.902092   0.0328146
         172    0.578096    0.900208   0.0326779
         173    0.581668    0.898367   0.0325408
         174    0.585184    0.896567   0.0324035
         175    0.588641    0.894807   0.0322661
         176    0.592036    0.893087   0.0321286
         177    0.595367    0.891405   0.0319911
         178    0.598631     0.88976   0.0318536
         179    0.601829    0.888152   0.0317162
         180    0.604956    0.886578    0.031579
         181    0.608013    0.885039   0.0314421
         182    0.610997    0.883534   0.0313053
         183    0.613909     0.88206   0.0311689
         184    0.616747    0.880618   0.0310328
         185     0.61951    0.879207   0.0308972
         186    0.622199    0.877825    0.030762
         187    0.624813    0.876472   0.0306272
         188    0.627352    0.875147   0.0304929
         189    0.629815    0.873849   0.0303592
         190    0.632204    0.872577    0.030226
         191    0.634517    0.871331   0.0300935
         192    0.636757    0.870109   0.0299615
         193    0.638924    0.868911   0.0298302
         194    0.641017    0.867736   0.0296996
         195    0.643039    0.866584   0.0295696
         196     0.64499    0.865454   0.0294404
         197    0.646871    0.864344   0.0293118
         198    0.648685    0.863255    0.029184
         199    0.650432    0.862185    0.029057
         200    0.652114    0.861135   0.0289306
         201    0.653732    0.860103   0.0288051
         202    0.655288    0.859089   0.0286803
         203    0.656784    0.858093   0.0285564
         204    0.658222    0.857113   0.0284332
         205    0.659602    0.856149   0.0283108
         206    0.660927    0.855202   0.0281892
         207    0.662199    0.854269   0.0280685
         208     0.66342    0.853352   0.0279485
         209    0.664593    0.852449   0.0278294
         210    0.665719    0.851559   0.0277111
         211    0.666801    0.850684   0.0275936
         212     0.66784    0.849821   0.0274769
         213     0.66884    0.848972    0.027361
         214    0.669801    0.848134    0.027246
         215    0.670726    0.847309   0.0271317
         216    0.671617    0.846496   0.0270183
         217    0.672477    0.845694   0.0269057
         218    0.673307    0.844903   0.0267939
         219     0.67411    0.844123   0.0266829
         220    0.674888    0.843354   0.0265727
         221    0.675644    0.842595   0.0264633
         222    0.676378    0.841846   0.0263547
         223    0.677093    0.841108   0.0262469
         224    0.677791    0.840379   0.0261398
         225    0.678473    0.839659   0.0260335
         226    0.679141    0.838949    0.025928
         227    0.679798    0.838248   0.0258233
         228    0.680445    0.837555   0.0257193
         229    0.681083    0.836872   0.0256161
         230    0.681715    0.836198   0.0255136
         231    0.682341    0.835532   0.0254118
         232    0.682964    0.834874   0.0253108
         233    0.683584    0.834225   0.0252105
         234    0.684204    0.833584   0.0251109
         235    0.684826    0.832951    0.025012
         236    0.685449    0.832325   0.0249138
         237    0.686075    0.831708   0.0248164
         238    0.686707    0.831099   0.0247196
         239    0.687344    0.830498   0.0246235
         240    0.687989    0.829904    0.024528
         241    0.688641    0.829318   0.0244332
         242    0.689304    0.828739   0.0243391
         243    0.689978    0.828168   0.0242457
         244    0.690664    0.827605   0.0241528
         245    0.691363    0.827049   0.0240607
         246    0.692076      0.8265   0.0239691
         247    0.692804    0.825959   0.0238782
         248    0.693547    0.825425   0.0237879
         249    0.694306    0.824898   0.0236982
         250    0.695083    0.824379   0.0236091
         251    0.695877    0.823867   0.0235205
         252     0.69669    0.823362   0.0234326
